"variable","var_type","var_label","row_type","label","stat_0","stat_1","stat_2","stat_3","stat_4","stat_5","stat_6","stat_7","stat_8","stat_9","stat_10","stat_11","stat_12","stat_13"
"Currency","categorical","Number of Currencies","level","MRO","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (14%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","MUR","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (2%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","MVR","1 (0%)","1 (4%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","MWK","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (2%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","MXN","1 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (13%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","MYR","1 (0%)","1 (4%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","MZN","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (2%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","NAD","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (2%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","NGN","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (2%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","NIO","1 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (13%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
